#r11	r12	r13	r21	r22	r23	r31	r32	r33	tx	ty	tz
0.105102	0.276253	-0.955321	0.989885	0.0629962	0.127121	0.0952992	-0.959018	-0.266837	160.602	-5.38202	885.866
0.137445	0.297395	-0.944809	0.989839	-0.00615114	0.14206	0.0364362	-0.954735	-0.295219	168.669	9.08791	885.126
0.173414	0.315103	-0.93308	0.984609	-0.076398	0.157191	-0.0217539	-0.945978	-0.323501	177.636	15.9703	882.485
0.217069	0.363279	-0.90604	0.975369	-0.117995	0.186368	-0.0392047	-0.924178	-0.379944	188.687	29.4948	880.041
0.247014	0.381591	-0.890715	0.967067	-0.155281	0.201664	-0.0613583	-0.911195	-0.407381	193.688	43.2824	879.252
0.29282	0.387532	-0.874114	0.949233	-0.227724	0.217024	-0.114953	-0.893287	-0.43454	195.452	56.3722	878.426
0.360755	0.410943	-0.837246	0.919655	-0.306127	0.246008	-0.155209	-0.858727	-0.488363	200.345	60.3323	877.2
0.416234	0.440098	-0.795653	0.89535	-0.350846	0.274327	-0.158421	-0.826572	-0.540076	205.584	63.5359	879.335
0.489693	0.445613	-0.74942	0.851689	-0.428448	0.301759	-0.18662	-0.786041	-0.589332	205.744	72.1375	875.396
0.547001	0.461139	-0.698671	0.817742	-0.472929	0.328079	-0.179132	-0.750792	-0.635786	202.611	73.7204	871.058
0.603629	0.470588	-0.643567	0.779639	-0.517216	0.353059	-0.166718	-0.714867	-0.679095	203.649	75.3269	870.578
0.65882	0.473855	-0.584309	0.737326	-0.560909	0.376471	-0.149352	-0.678853	-0.718924	197.047	79.7266	874.458
0.6948	0.459686	-0.55312	0.703242	-0.595358	0.388586	-0.150676	-0.658967	-0.736925	192.304	84.1189	874.373
0.746832	0.413497	-0.520829	0.641479	-0.654444	0.400259	-0.175348	-0.633027	-0.754009	179.159	84.65	869.822
0.795088	0.360849	-0.487465	0.573686	-0.708236	0.411444	-0.196771	-0.606786	-0.770125	163.859	86.4855	860.141
0.838744	0.302067	-0.45306	0.500274	-0.756016	0.422096	-0.215019	-0.580685	-0.785221	148.461	87.0004	855.295
0.866641	0.27295	-0.41765	0.453725	-0.779333	0.432173	-0.207527	-0.564037	-0.799246	142.043	85.3996	844.818
0.915562	0.207848	-0.344303	0.354887	-0.820302	0.448508	-0.189211	-0.532826	-0.8248	127.392	80.4285	844.615
0.942489	0.133392	-0.306464	0.268519	-0.848174	0.456616	-0.199026	-0.512647	-0.835213	109.35	76.9348	844.281
0.968734	0.096127	-0.228722	0.196151	-0.861238	0.468822	-0.151918	-0.499028	-0.853166	92.762	70.3144	849.051
0.981882	0.01451	-0.188935	0.104253	-0.873963	0.47468	-0.158234	-0.485777	-0.859641	75.0462	63.8984	849.448
0.993788	-0.0274938	-0.107837	0.0281076	-0.875576	0.482262	-0.107679	-0.482298	-0.869364	67.8007	53.1278	855.214
0.993273	-0.112987	-0.025368	-0.0864662	-0.869365	0.486548	-0.0770278	-0.481081	-0.873286	59.8752	41.347	848.651
0.985571	-0.155449	-0.0669783	-0.103667	-0.867155	0.487129	-0.133804	-0.473157	-0.870758	42.8715	40.411	825.612
0.964739	-0.239677	-0.108785	-0.15853	-0.859037	0.486749	-0.210113	-0.45234	-0.866742	26.8466	39.4951	803.336
0.927959	-0.3192	-0.192362	-0.194056	-0.854512	0.481822	-0.318173	-0.409782	-0.854895	10.9647	40.4338	781.478
0.90448	-0.356615	-0.23397	-0.21214	-0.852035	0.478573	-0.370017	-0.383225	-0.846301	-2.69507	38.5439	758.1
0.859333	-0.430903	-0.275444	-0.268402	-0.83845	0.474302	-0.435324	-0.333654	-0.836163	-9.57057	35.3361	741.713
0.81522	-0.455757	-0.357354	-0.269928	-0.844915	0.461798	-0.512402	-0.280008	-0.811813	-22.1919	34.6725	725.062
0.764351	-0.474011	-0.437128	-0.273766	-0.852358	0.445576	-0.583797	-0.220905	-0.781269	-31.2391	33.4607	703.728
0.707538	-0.484869	-0.514094	-0.280298	-0.860364	0.425684	-0.648709	-0.157088	-0.744648	-41.8105	25.1521	676.87
0.622592	-0.51684	-0.587584	-0.329508	-0.854195	0.402212	-0.709791	-0.0568001	-0.702118	-51.2258	17.025	656.481
0.553064	-0.553307	-0.622873	-0.394233	-0.83243	0.38941	-0.733962	0.0301887	-0.678519	-55.1633	11.6599	646.982
0.507389	-0.557418	-0.657146	-0.420686	-0.825781	0.375645	-0.75205	0.0858544	-0.653491	-58.0676	7.0262	637.643
0.441096	-0.532951	-0.722079	-0.437991	-0.830094	0.345119	-0.783325	0.164033	-0.599579	-66.0792	4.54911	623.569
0.35048	-0.516116	-0.781529	-0.497587	-0.809559	0.311483	-0.793455	0.27971	-0.540547	-70.6336	-6.77459	605.473
0.264373	-0.482753	-0.834899	-0.559437	-0.781931	0.274979	-0.785581	0.394377	-0.476791	-78.3139	-11.0554	582.896
0.201544	-0.470344	-0.85916	-0.626979	-0.735855	0.255763	-0.752514	0.487128	-0.443203	-79.8003	-24.9055	575.021
0.130567	-0.410472	-0.902477	-0.688533	-0.692493	0.215351	-0.713355	0.593267	-0.37304	-79.5088	-29.6958	559.097
0.0996072	-0.375636	-0.921399	-0.719013	-0.667282	0.194309	-0.687822	0.643143	-0.336553	-72.6649	-43.3848	552.034
0.0483371	-0.297617	-0.953461	-0.778435	-0.609357	0.150743	-0.625862	0.73492	-0.26113	-71.0302	-48.0942	538.514
0.0235336	-0.210036	-0.97741	-0.806355	-0.581921	0.105634	-0.590963	0.785654	-0.183059	-76.1167	-53.5287	530.754
