#r11	r12	r13	r21	r22	r23	r31	r32	r33	tx	ty	tz
0.518555	0.330956	-0.788396	0.326615	-0.928802	-0.17507	-0.790204	-0.166718	-0.589731	125.503	-15.9915	998.991
0.596175	0.28125	-0.75198	0.250833	-0.954996	-0.158319	-0.762665	-0.0942354	-0.639892	122.593	-2.21205	995.728
0.632185	0.250293	-0.733277	0.2283	-0.964545	-0.132406	-0.74042	-0.0837021	-0.666913	118.321	3.83274	989.36
0.67811	0.172407	-0.714452	0.14095	-0.984559	-0.103808	-0.721318	-0.0303089	-0.691941	114.721	9.48701	985.743
0.706239	0.132007	-0.695558	0.113631	-0.990861	-0.0726753	-0.698795	-0.0277106	-0.714785	106.429	20.9038	975.454
0.748193	0.0905294	-0.657276	0.085234	-0.995554	-0.040098	-0.657984	-0.0260213	-0.752582	95.2943	25.6623	964.19
0.78596	-0.00682796	-0.61824	0.0184946	-0.999232	0.0345477	-0.618001	-0.0385872	-0.78523	88.8401	30.7972	956.229
0.813359	-0.0598183	-0.578678	-0.0193963	-0.996935	0.0757915	-0.581438	-0.0504215	-0.812027	75.3174	39.0672	952.102
0.821313	-0.114327	-0.558904	-0.0295618	-0.986926	0.15844	-0.569711	-0.113607	-0.813955	67.3384	45.4198	947.763
0.836847	-0.172584	-0.519521	-0.0467347	-0.968064	0.246309	-0.545438	-0.181843	-0.818187	51.1099	48.0196	938.827
0.834986	-0.229845	-0.499969	-0.0602644	-0.941319	0.332095	-0.546961	-0.247164	-0.79984	32.8873	52.0299	924.634
0.81742	-0.345037	-0.461274	-0.168305	-0.908877	0.381595	-0.550906	-0.234289	-0.801006	14.7386	54.8232	915.153
0.781615	-0.458528	-0.422883	-0.242094	-0.847812	0.471811	-0.574864	-0.266398	-0.773669	5.7514	55.6017	899.926
0.727994	-0.567311	-0.384946	-0.336105	-0.784709	0.520831	-0.597543	-0.24978	-0.76194	-13.4364	55.7566	889.986
0.652444	-0.663406	-0.366346	-0.376868	-0.703425	0.60263	-0.657486	-0.255118	-0.708962	-33.4325	54.8832	884.616
0.563577	-0.749078	-0.348227	-0.399108	-0.615998	0.67916	-0.723252	-0.243779	-0.646126	-53.2617	53.792	879.119
0.465866	-0.827693	-0.312879	-0.408168	-0.51474	0.75395	-0.785091	-0.223532	-0.577638	-72.2523	50.1992	874.257
0.414594	-0.866379	-0.278386	-0.410109	-0.450975	0.792737	-0.812356	-0.214496	-0.542281	-81.3246	45.2812	869.359
0.359507	-0.900449	-0.244839	-0.358224	-0.375453	0.854816	-0.861644	-0.219605	-0.457541	-90.0766	39.495	851.975
0.238584	-0.947628	-0.212319	-0.363235	-0.289843	0.885466	-0.900632	-0.134136	-0.413364	-106.792	35.5059	834.379
0.110703	-0.974207	-0.196634	-0.297677	-0.221269	0.92867	-0.948227	-0.0442736	-0.314494	-122.263	31.505	817.564
-0.0202709	-0.98317	-0.181567	-0.217388	-0.172925	0.960645	-0.975875	0.0589437	-0.210224	-136.234	26.2666	806.615
-0.0862861	-0.982152	-0.16713	-0.11748	-0.156555	0.980657	-0.98932	0.104252	-0.101875	-148.532	21.2687	788.65
-0.217946	-0.965939	-0.139504	-0.0216862	-0.138112	0.990179	-0.97572	0.218831	0.00915345	-153.768	14.951	777.65
-0.282886	-0.950798	-0.126328	0.0816688	-0.155107	0.984516	-0.95567	0.268188	0.121528	-162.287	8.16863	771.654
-0.346799	-0.931009	-0.113812	0.12869	-0.167426	0.977449	-0.929069	0.324332	0.177875	-166.149	0.97678	760.685
-0.469577	-0.876984	-0.101961	0.210418	-0.223322	0.951762	-0.857451	0.425472	0.2894	-170.471	-13.1188	743.818
-0.528342	-0.844164	-0.0907808	0.294627	-0.28257	0.912879	-0.796272	0.455566	0.398007	-172.6	-26.7858	732.959
-0.638607	-0.766365	-0.069764	0.30776	-0.337438	0.889618	-0.705312	0.546645	0.451346	-172.512	-34.8464	728.016
-0.68954	-0.721763	-0.0599328	0.328686	-0.385601	0.862135	-0.645368	0.574778	0.503121	-171.132	-42.098	723.102
-0.781711	-0.62225	-0.0416352	0.349162	-0.492003	0.797508	-0.516734	0.608883	0.60187	-169.851	-49.4837	717.441
-0.859199	-0.510565	-0.033174	0.309726	-0.570637	0.760555	-0.407243	0.643193	0.648426	-164.214	-65.3044	707.045
-0.92083	-0.389137	-0.0254025	0.252947	-0.645596	0.720571	-0.296801	0.657098	0.692915	-160.874	-73.6222	691.382
-0.965375	-0.26022	-0.0183241	0.19044	-0.751023	0.632216	-0.178277	0.606837	0.774575	-156.556	-89.3197	686.642
-0.980991	-0.193686	-0.0119395	0.157503	-0.83065	0.534053	-0.113356	0.522021	0.845367	-144.119	-97.3759	676.335
-0.992013	-0.126138	-0.000560109	0.113799	-0.896866	0.427412	-0.0544154	0.423934	0.904057	-130.958	-112.49	671.727
-0.999934	0.010617	0.00443332	-0.00869004	-0.949464	0.313754	0.0075404	0.313695	0.949494	-116.258	-119.597	662.376
-0.989047	0.147339	0.00873095	-0.142842	-0.970397	0.194743	0.0371658	0.191363	0.980815	-107.819	-126.806	657.739
-0.97651	0.214883	0.0159306	-0.2109	-0.968323	0.133686	0.0441529	0.127186	0.990896	-89.8563	-133.417	644.513
-0.959323	0.281472	0.0217356	-0.279313	-0.957511	0.0718084	0.0410241	0.0628165	0.997182	-81.093	-139.71	631.809
-0.911489	0.410492	0.0261446	-0.410391	-0.911862	0.00935204	0.0276792	-0.00220521	0.999614	-71.9138	-145.6	623.674
-0.880969	0.472274	0.029158	-0.472265	-0.873789	-0.11601	-0.0293107	-0.115972	0.99282	-62.4301	-156.657	612.108
-0.846281	0.531893	0.0299663	-0.522644	-0.818037	-0.240121	-0.103205	-0.218872	0.97028	-52.7576	-161.745	605.008
-0.764947	0.643386	0.0301889	-0.620731	-0.723882	-0.301144	-0.171898	-0.249098	0.953101	-33.0645	-170.969	598.4
-0.668962	0.74273	0.029015	-0.682474	-0.598289	-0.419857	-0.294481	-0.30067	0.907126	-23.2872	-174.556	594.867
-0.560092	0.827966	0.0277309	-0.709384	-0.462049	-0.532245	-0.427867	-0.317778	0.846136	-4.31836	-181.07	586.504
-0.440398	0.897433	0.0257484	-0.734265	-0.343527	-0.58553	-0.516628	-0.276772	0.810242	13.9968	-187.08	583.338
-0.312166	0.949809	0.0203883	-0.736547	-0.228409	-0.636653	-0.600042	-0.213758	0.770881	22.8374	-191.926	576.608
-0.177803	0.983972	0.013633	-0.673159	-0.111511	-0.731042	-0.717804	-0.139159	0.682196	30.7626	-193.749	574.645
-0.0398887	0.999158	0.00955823	-0.581462	-0.0154318	-0.813427	-0.812595	-0.0380043	0.581588	45.679	-194.96	572.969
0.0989007	0.995097	1.35263e-05	-0.468384	0.0465637	-0.882297	-0.877972	0.0872534	0.470693	52.684	-195.181	568.809
0.167789	0.985808	-0.00545434	-0.406873	0.0642101	-0.911225	-0.897943	0.155113	0.411872	64.3832	-195.148	566.783
0.235873	0.971621	-0.0177811	-0.345091	0.0666422	-0.9362	-0.908447	0.22696	0.351017	69.7103	-194.491	565.021
0.302773	0.952542	-0.0314945	-0.223461	0.0388268	-0.973939	-0.926496	0.30192	0.224612	74.0908	-192.219	563.038
0.36822	0.928918	-0.0390433	-0.162684	0.0230276	-0.986409	-0.915395	0.369568	0.159599	79.0055	-187.468	562.64
0.493493	0.868464	-0.0472825	-0.0472319	-0.0275235	-0.998505	-0.868466	0.494988	0.0274366	80.3728	-184.982	562.842
0.55222	0.83115	-0.065134	0.0521866	-0.112435	-0.992288	-0.832063	0.544562	-0.105464	80.8939	-178.851	563.052
0.60837	0.790126	-0.074742	0.0912919	-0.163218	-0.982357	-0.788385	0.590813	-0.171429	81.044	-175.226	564.451
0.660788	0.744497	-0.0953125	0.116209	-0.226935	-0.966952	-0.741522	0.627874	-0.236473	77.1457	-166.158	566.495
0.757063	0.644641	-0.106269	0.161782	-0.342558	-0.925462	-0.632994	0.683441	-0.36363	71.0964	-161.494	569.46
0.799112	0.589509	-0.117896	0.206605	-0.453457	-0.867001	-0.564566	0.668473	-0.484158	67.0336	-156.357	570.181
0.835553	0.530617	-0.142464	0.191607	-0.524456	-0.829598	-0.514915	0.665876	-0.539881	61.9825	-150.784	572.05
0.866953	0.469115	-0.168296	0.19911	-0.635571	-0.745925	-0.456889	0.613173	-0.644416	56.0057	-138.497	574.202
0.921543	0.34306	-0.181844	0.149072	-0.745056	-0.65013	-0.358518	0.572015	-0.737742	43.0987	-131.946	579.06
0.940611	0.27717	-0.196028	0.109861	-0.794874	-0.596746	-0.321218	0.53977	-0.778118	28.5678	-125.204	583.866
0.954649	0.210221	-0.210839	0.0849746	-0.871066	-0.483759	-0.28535	0.443904	-0.849426	20.2967	-118.321	592.248
0.967483	0.0747675	-0.241633	-0.0352316	-0.906164	-0.421456	-0.25047	0.416265	-0.874064	2.61009	-111.343	601.49
0.961849	0.00704274	-0.273492	-0.0948321	-0.929108	-0.357442	-0.256621	0.369741	-0.892993	-15.6603	-97.0206	608.431
0.948679	-0.126217	-0.28996	-0.197265	-0.952833	-0.230643	-0.247173	0.276006	-0.928831	-34.9699	-89.6044	615.853
0.911345	-0.254023	-0.323916	-0.299948	-0.94871	-0.0999071	-0.281924	0.188208	-0.940796	-44.854	-74.6375	623.6
0.855571	-0.373254	-0.358719	-0.389133	-0.920696	0.0298906	-0.341428	0.114016	-0.932967	-54.8454	-67.1385	631.926
0.814669	-0.425287	-0.394265	-0.396943	-0.904568	0.155541	-0.422789	0.0297859	-0.905739	-74.9466	-52.914	645.11
0.734318	-0.524879	-0.430441	-0.481986	-0.849681	0.213846	-0.477981	0.0504353	-0.876921	-94.8921	-45.5401	649.846
0.640903	-0.609132	-0.46712	-0.553632	-0.788327	0.26839	-0.531728	0.0866006	-0.842476	-114.045	-39.1607	664.132
0.583042	-0.637088	-0.504164	-0.518083	-0.769561	0.373318	-0.625821	0.0435387	-0.77875	-132.944	-33.0291	679.302
0.523075	-0.658223	-0.541419	-0.466145	-0.752766	0.464815	-0.713514	0.00924686	-0.70058	-141.65	-20.3741	684.405
0.413866	-0.702707	-0.57872	-0.504249	-0.706244	0.496944	-0.757924	0.0861509	-0.64663	-149.758	-7.33421	689.659
